timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626901798101,2595,Open Home Page,200,OK,Editor 1-1,text,true,,246064,8820,2,2,http://192.168.56.101/,1574,0,10
1626901798982,1714,Open Home Page,200,OK,Editor 1-2,text,true,,194629,8820,2,2,http://192.168.56.101/,697,0,1
1626901798101,1574,Open Home Page-0,200,OK,Editor 1-1,text,true,,26458,361,2,2,http://192.168.56.101/,1574,0,10
1626901798982,698,Open Home Page-0,200,OK,Editor 1-2,text,true,,22204,361,2,2,http://192.168.56.101/,697,0,1
1626901799754,36,Open Home Page-1,200,OK,Editor 1-1,text,true,,1778,384,2,2,http://192.168.56.101/Content/Auto/Global.css,35,0,1
1626901799752,17,Open Home Page-1,200,OK,Editor 1-2,text,true,,5349,384,2,2,http://192.168.56.101/Content/Auto/Global.css,17,0,0
1626901799753,943,Open Home Page-2,200,OK,Editor 1-1,text,true,,1653,400,2,2,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",942,0,797
1626901799752,944,Open Home Page-2,200,OK,Editor 1-2,text,true,,1563,400,2,2,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",942,0,798
1626901799755,30,Open Home Page-3,200,OK,Editor 1-1,text,true,,5996,398,2,2,http://192.168.56.101/Custom/Themes/Standard/css/styles.css,28,0,1
1626901799752,23,Open Home Page-3,200,OK,Editor 1-2,text,true,,25636,398,2,2,http://192.168.56.101/Custom/Themes/Standard/css/styles.css,23,0,4
1626901799753,33,Open Home Page-4,200,OK,Editor 1-1,bin,true,,3929,395,2,2,http://192.168.56.101/Content/images/blog/blogengine.ico,33,0,4
1626901799754,32,Open Home Page-4,200,OK,Editor 1-2,bin,true,,3929,395,2,2,http://192.168.56.101/Content/images/blog/blogengine.ico,32,0,4
1626901799753,26,Open Home Page-5,200,OK,Editor 1-1,text,true,,6324,404,2,2,http://192.168.56.101/scripts/syntaxhighlighter/styles/shCore.css,26,0,4
1626901799753,32,Open Home Page-5,200,OK,Editor 1-2,text,true,,1462,404,2,2,http://192.168.56.101/scripts/syntaxhighlighter/styles/shCore.css,32,0,5
1626901799752,17,Open Home Page-6,200,OK,Editor 1-1,text,true,,2888,412,2,2,http://192.168.56.101/scripts/syntaxhighlighter/styles/shThemeDefault.css,17,0,0
